date,time,global_active_power,temperature,time_of_day,occupancy,occupancy_confidence,ac_on,ac_eco,lamp_on,tv_on
01/01/2024,14:40:00,0.011,30,0.0,0,0.92,0,0,0,0
01/01/2024,14:50:00,0.512,32,0.0,1,0.92,1,1,0,0
01/01/2024,15:00:00,0.019,31,0.0,0,0.93,0,0,0,0
01/01/2024,15:10:00,0.01,32,0.0,0,0.77,0,0,0,0
01/01/2024,15:20:00,0.01,30,0.0,0,0.88,0,0,0,0
01/01/2024,15:30:00,0.013,30,0.0,0,0.8,0,0,0,0
01/01/2024,15:40:00,0.713,30,0.0,0,0.99,1,0,0,0
01/01/2024,15:50:00,0.011,28,0.0,0,0.9,0,0,0,0
01/01/2024,16:00:00,0.02,30,0.0,0,0.89,0,0,0,0
01/01/2024,16:10:00,0.01,30,0.0,0,0.96,0,0,0,0
01/01/2024,16:20:00,0.01,30,0.0,0,0.93,0,0,0,0
01/01/2024,16:30:00,0.01,29,0.0,0,0.82,0,0,0,0
01/01/2024,16:40:00,0.01,27,0.0,0,0.9,0,0,0,0
01/01/2024,16:50:00,0.74,29,0.0,1,0.88,1,0,1,0
01/01/2024,17:00:00,0.026,29,0.0,1,0.78,0,0,0,0
01/01/2024,17:10:00,0.808,28,0.0,1,0.85,1,0,0,1
01/01/2024,17:20:00,0.703,28,0.0,1,0.89,1,0,0,0
01/01/2024,17:30:00,0.742,29,0.0,1,0.89,1,0,1,0
01/01/2024,17:40:00,0.02,31,0.0,0,0.8,0,0,0,0
01/01/2024,17:50:00,0.691,28,0.0,1,0.98,1,0,0,0
01/01/2024,18:00:00,0.75,28,1.0,1,0.89,1,0,1,0
01/01/2024,18:10:00,0.551,28,1.0,1,0.9,1,1,1,0
01/01/2024,18:20:00,0.064,25,1.0,0,0.93,0,0,1,0
01/01/2024,18:30:00,0.697,27,1.0,1,0.84,1,0,0,0
01/01/2024,18:40:00,0.15,27,1.0,1,0.93,0,0,1,1
01/01/2024,18:50:00,0.677,31,1.0,1,0.87,1,1,1,1
01/01/2024,19:00:00,0.149,27,1.0,1,0.84,0,0,1,1
01/01/2024,19:10:00,0.042,27,1.0,0,0.94,0,0,1,0
01/01/2024,19:20:00,0.166,27,1.0,1,1.0,0,0,1,1
01/01/2024,19:30:00,0.179,25,1.0,1,0.95,0,0,1,1
01/01/2024,19:40:00,0.727,28,1.0,0,0.96,1,0,1,0
01/01/2024,19:50:00,0.046,27,1.0,1,0.86,0,0,1,0
01/01/2024,20:00:00,0.05,27,1.0,1,0.79,0,0,1,0
01/01/2024,20:10:00,0.117,24,1.0,1,1.0,0,0,0,1
01/01/2024,20:20:00,0.625,28,1.0,1,1.0,1,1,0,1
01/01/2024,20:30:00,0.763,23,1.0,1,1.0,1,0,1,0
01/01/2024,20:40:00,0.042,26,1.0,1,0.88,0,0,1,0
01/01/2024,20:50:00,0.545,29,1.0,1,0.82,1,1,1,0
01/01/2024,21:00:00,0.023,24,1.0,0,0.83,0,0,0,0
01/01/2024,21:10:00,0.167,24,1.0,1,0.78,0,0,1,1
01/01/2024,21:20:00,0.07,25,1.0,1,0.89,0,0,1,0
01/01/2024,21:30:00,0.025,24,1.0,1,1.0,0,0,1,0
01/01/2024,21:40:00,0.166,22,1.0,1,0.89,0,0,1,1
01/01/2024,21:50:00,0.182,25,1.0,1,0.92,0,0,1,1
01/01/2024,22:00:00,0.039,23,1.0,0,1.0,0,0,1,0
01/01/2024,22:10:00,0.866,25,1.0,1,0.87,1,0,1,1
01/01/2024,22:20:00,0.149,23,1.0,1,1.0,0,0,0,1
01/01/2024,22:30:00,0.158,27,1.0,1,1.0,0,0,1,1
01/01/2024,22:40:00,0.057,23,1.0,1,0.89,0,0,1,0
01/01/2024,22:50:00,0.021,24,1.0,0,0.86,0,0,0,0
01/01/2024,23:00:00,0.751,25,1.0,1,0.95,1,0,1,0
01/01/2024,23:10:00,0.011,22,1.0,0,0.88,0,0,0,0
01/01/2024,23:20:00,0.155,24,1.0,1,0.82,0,0,1,1
01/01/2024,23:30:00,0.181,26,1.0,1,0.99,0,0,1,1
01/01/2024,23:40:00,0.111,22,1.0,1,0.99,0,0,0,1
01/01/2024,23:50:00,0.756,24,1.0,1,0.91,1,0,1,0
02/01/2024,00:00:00,0.042,24,1.0,1,0.81,0,0,1,0
02/01/2024,00:10:00,0.164,25,1.0,1,0.81,0,0,1,1
02/01/2024,00:20:00,0.867,22,1.0,1,0.91,1,0,1,1
02/01/2024,00:30:00,0.177,22,1.0,1,0.87,0,0,1,1
02/01/2024,00:40:00,0.153,25,1.0,1,0.88,0,0,0,1
02/01/2024,00:50:00,0.172,25,1.0,1,0.97,0,0,1,1
02/01/2024,01:00:00,0.119,25,1.0,0,0.6,0,0,0,1
02/01/2024,01:10:00,0.148,25,1.0,1,0.65,0,0,1,1
02/01/2024,01:20:00,0.067,23,1.0,1,0.48,0,0,1,0
02/01/2024,01:30:00,0.053,25,1.0,0,0.53,0,0,1,0
02/01/2024,01:40:00,0.01,25,1.0,0,0.6,0,0,0,0
02/01/2024,01:50:00,0.171,23,1.0,1,0.58,0,0,1,1
02/01/2024,02:00:00,0.061,27,1.0,1,0.66,0,0,1,0
02/01/2024,02:10:00,0.164,25,1.0,1,0.58,0,0,1,1
02/01/2024,02:20:00,0.16,23,1.0,0,0.68,0,0,1,1
02/01/2024,02:30:00,0.15,26,1.0,1,0.59,0,0,1,1
02/01/2024,02:40:00,0.734,23,1.0,1,0.62,1,0,1,0
02/01/2024,02:50:00,0.165,26,1.0,1,0.53,0,0,1,1
02/01/2024,03:00:00,0.886,27,1.0,1,0.55,1,0,1,1
02/01/2024,03:10:00,0.162,24,1.0,0,0.61,0,0,1,1
02/01/2024,03:20:00,0.174,27,1.0,1,0.66,0,0,1,1
02/01/2024,03:30:00,0.887,26,1.0,1,0.6,1,0,1,1
02/01/2024,03:40:00,0.176,27,1.0,1,0.54,0,0,1,1
02/01/2024,03:50:00,0.74,29,1.0,1,0.65,1,0,0,0
02/01/2024,04:00:00,0.051,26,1.0,1,0.4,0,0,1,0
02/01/2024,04:10:00,0.01,25,1.0,0,0.45,0,0,0,0
02/01/2024,04:20:00,0.01,25,1.0,0,0.6,0,0,0,0
02/01/2024,04:30:00,0.04,25,1.0,0,0.55,0,0,0,0
02/01/2024,04:40:00,0.068,27,1.0,0,0.59,0,0,1,0
02/01/2024,04:50:00,0.01,27,1.0,0,0.55,0,0,0,0
02/01/2024,05:00:00,0.202,27,1.0,1,0.59,0,0,1,1
02/01/2024,05:10:00,0.717,28,1.0,0,0.49,1,0,0,0
02/01/2024,05:20:00,0.012,27,1.0,0,0.59,0,0,0,0
02/01/2024,05:30:00,0.058,30,1.0,0,0.62,0,0,1,0
02/01/2024,05:40:00,0.856,27,1.0,1,0.64,1,0,1,1
02/01/2024,05:50:00,1.073,32,1.0,1,0.69,1,0,1,1
02/01/2024,06:00:00,0.01,29,0.0,0,0.57,0,0,0,0
02/01/2024,06:10:00,0.01,27,0.0,0,0.57,0,0,0,0
02/01/2024,06:20:00,0.024,27,0.0,0,0.44,0,0,0,0
02/01/2024,06:30:00,0.746,29,0.0,1,0.51,1,0,1,0
02/01/2024,06:40:00,0.711,28,0.0,1,0.54,1,0,0,0
02/01/2024,06:50:00,0.515,30,0.0,1,0.62,1,1,0,0
02/01/2024,07:00:00,0.524,30,0.0,0,0.86,1,1,0,0
02/01/2024,07:10:00,0.529,29,0.0,1,0.96,1,1,0,0
02/01/2024,07:20:00,0.71,28,0.0,1,0.9,1,0,0,0
02/01/2024,07:30:00,0.01,27,0.0,0,0.89,0,0,0,0
02/01/2024,07:40:00,0.539,29,0.0,1,0.92,1,1,0,0
02/01/2024,07:50:00,0.871,31,0.0,0,0.87,1,0,0,0
02/01/2024,08:00:00,0.723,30,0.0,1,0.87,1,0,0,0
02/01/2024,08:10:00,0.01,28,0.0,0,0.78,0,0,0,0
02/01/2024,08:20:00,0.019,31,0.0,0,0.88,0,0,0,0
02/01/2024,08:30:00,0.011,31,0.0,0,0.87,0,0,0,0
02/01/2024,08:40:00,0.729,29,0.0,0,0.86,1,0,0,0
02/01/2024,08:50:00,0.016,31,0.0,1,0.93,0,0,0,0
02/01/2024,09:00:00,0.01,31,0.0,1,0.95,0,0,0,0
02/01/2024,09:10:00,0.01,29,0.0,0,0.92,0,0,0,0
02/01/2024,09:20:00,0.01,32,0.0,0,0.97,0,0,0,0
02/01/2024,09:30:00,0.019,32,0.0,0,0.94,0,0,0,0
02/01/2024,09:40:00,0.03,33,0.0,0,0.88,0,0,0,0
02/01/2024,09:50:00,0.01,33,0.0,0,0.87,0,0,0,0
02/01/2024,10:00:00,0.677,29,0.0,1,0.92,1,0,0,0
02/01/2024,10:10:00,0.016,30,0.0,0,0.94,0,0,0,0
02/01/2024,10:20:00,0.911,32,0.0,0,1.0,1,0,0,0
02/01/2024,10:30:00,0.012,32,0.0,0,0.98,0,0,0,0
02/01/2024,10:40:00,0.01,33,0.0,0,0.86,0,0,0,0
02/01/2024,10:50:00,0.528,38,0.0,1,0.89,1,1,0,0
02/01/2024,11:00:00,0.498,33,0.0,0,0.95,1,1,0,0
02/01/2024,11:10:00,0.515,34,0.0,0,0.97,1,1,0,0
02/01/2024,11:20:00,0.634,33,0.0,1,0.97,1,1,0,1
02/01/2024,11:30:00,0.518,33,0.0,0,0.9,1,1,0,0
02/01/2024,11:40:00,0.499,32,0.0,0,0.81,1,1,0,0
02/01/2024,11:50:00,0.01,33,0.0,0,0.83,0,0,0,0
02/01/2024,12:00:00,0.023,31,0.0,0,0.92,0,0,0,0
02/01/2024,12:10:00,0.518,32,0.0,1,0.92,1,1,0,0
02/01/2024,12:20:00,0.915,31,0.0,0,0.82,1,0,0,0
02/01/2024,12:30:00,0.027,32,0.0,0,0.9,0,0,0,0
02/01/2024,12:40:00,0.515,35,0.0,0,0.94,1,1,0,0
02/01/2024,12:50:00,0.504,29,0.0,1,0.82,1,1,0,0
02/01/2024,13:00:00,0.018,33,0.0,0,0.98,0,0,0,0
02/01/2024,13:10:00,0.017,29,0.0,0,0.87,0,0,0,0
02/01/2024,13:20:00,0.017,31,0.0,0,0.99,0,0,0,0
02/01/2024,13:30:00,0.01,33,0.0,0,0.86,0,0,0,0
02/01/2024,13:40:00,0.895,32,0.0,1,0.83,1,0,0,0
02/01/2024,13:50:00,0.023,30,0.0,0,0.87,0,0,0,0
02/01/2024,14:00:00,0.128,30,0.0,1,0.89,0,0,0,1
02/01/2024,14:10:00,0.01,32,0.0,0,0.87,0,0,0,0
02/01/2024,14:20:00,0.489,30,0.0,0,0.88,1,1,0,0
02/01/2024,14:30:00,0.89,31,0.0,0,0.92,1,0,0,0
02/01/2024,14:40:00,0.926,31,0.0,0,0.89,1,0,0,0
02/01/2024,14:50:00,0.01,30,0.0,0,0.9,0,0,0,0
02/01/2024,15:00:00,0.011,34,0.0,0,0.78,0,0,0,0
02/01/2024,15:10:00,0.505,32,0.0,1,0.93,1,1,0,0
02/01/2024,15:20:00,0.694,28,0.0,1,0.89,1,0,0,0
02/01/2024,15:30:00,0.021,31,0.0,0,1.0,0,0,0,0
02/01/2024,15:40:00,0.84,29,0.0,1,0.83,1,0,0,1
02/01/2024,15:50:00,0.01,31,0.0,0,0.77,0,0,0,0
02/01/2024,16:00:00,0.031,29,0.0,0,0.94,0,0,0,0
02/01/2024,16:10:00,0.021,30,0.0,0,0.92,0,0,0,0
02/01/2024,16:20:00,0.01,30,0.0,0,0.83,0,0,0,0
02/01/2024,16:30:00,0.01,31,0.0,0,0.79,0,0,0,0
02/01/2024,16:40:00,0.01,28,0.0,0,1.0,0,0,0,0
02/01/2024,16:50:00,0.715,29,0.0,0,1.0,1,0,0,0
02/01/2024,17:00:00,0.01,28,0.0,0,0.73,0,0,0,0
02/01/2024,17:10:00,0.01,28,0.0,1,0.87,0,0,0,0
02/01/2024,17:20:00,0.022,31,0.0,0,1.0,0,0,0,0
02/01/2024,17:30:00,0.486,29,0.0,1,0.87,1,1,0,0
02/01/2024,17:40:00,0.01,26,0.0,1,0.87,0,0,0,0
02/01/2024,17:50:00,0.692,30,0.0,1,0.88,1,0,0,0
02/01/2024,18:00:00,1.044,31,1.0,1,0.82,1,0,0,1
02/01/2024,18:10:00,0.555,29,1.0,1,0.78,1,1,1,0
02/01/2024,18:20:00,0.148,25,1.0,1,0.97,0,0,1,1
02/01/2024,18:30:00,0.034,27,1.0,1,0.77,0,0,1,0
02/01/2024,18:40:00,0.67,29,1.0,1,0.92,1,1,1,1
02/01/2024,18:50:00,0.135,26,1.0,0,0.96,0,0,1,1
02/01/2024,19:00:00,0.853,28,1.0,1,0.8,1,0,1,1
02/01/2024,19:10:00,0.858,28,1.0,1,0.84,1,0,1,1
02/01/2024,19:20:00,0.189,25,1.0,1,0.98,0,0,1,1
02/01/2024,19:30:00,0.041,26,1.0,1,0.94,0,0,1,0
02/01/2024,19:40:00,0.06,22,1.0,0,0.86,0,0,1,0
02/01/2024,19:50:00,0.163,25,1.0,1,0.98,0,0,1,1
02/01/2024,20:00:00,0.881,26,1.0,1,0.98,1,0,1,1
02/01/2024,20:10:00,0.147,24,1.0,1,0.92,0,0,1,1
02/01/2024,20:20:00,0.659,28,1.0,1,0.84,1,1,1,1
02/01/2024,20:30:00,0.168,23,1.0,1,0.87,0,0,1,1
02/01/2024,20:40:00,0.013,25,1.0,1,0.92,0,0,0,0
02/01/2024,20:50:00,0.015,25,1.0,1,0.89,0,0,0,0
02/01/2024,21:00:00,0.173,27,1.0,1,0.97,0,0,1,1
02/01/2024,21:10:00,0.138,23,1.0,1,0.79,0,0,0,1
02/01/2024,21:20:00,0.01,27,1.0,0,0.8,0,0,0,0
02/01/2024,21:30:00,0.873,25,1.0,1,0.91,1,0,1,1
02/01/2024,21:40:00,0.01,23,1.0,0,0.87,0,0,0,0
02/01/2024,21:50:00,0.146,25,1.0,1,0.86,0,0,1,1
02/01/2024,22:00:00,0.033,25,1.0,1,0.78,0,0,1,0
02/01/2024,22:10:00,0.145,24,1.0,1,0.9,0,0,1,1
02/01/2024,22:20:00,0.133,24,1.0,1,0.9,0,0,0,1
02/01/2024,22:30:00,0.184,24,1.0,1,0.95,0,0,1,1
02/01/2024,22:40:00,0.736,24,1.0,1,0.9,1,0,1,0
02/01/2024,22:50:00,0.185,25,1.0,1,0.89,0,0,1,1
02/01/2024,23:00:00,0.877,27,1.0,1,0.98,1,0,1,1
02/01/2024,23:10:00,0.862,22,1.0,1,0.81,1,0,1,1
02/01/2024,23:20:00,0.745,27,1.0,1,0.94,1,0,1,0
02/01/2024,23:30:00,0.147,22,1.0,1,0.78,0,0,0,1
02/01/2024,23:40:00,0.01,24,1.0,1,0.84,0,0,0,0
02/01/2024,23:50:00,0.187,25,1.0,1,0.82,0,0,1,1
03/01/2024,00:00:00,0.023,24,1.0,1,0.95,0,0,0,0
03/01/2024,00:10:00,0.041,23,1.0,1,0.9,0,0,1,0
03/01/2024,00:20:00,0.749,24,1.0,1,0.9,1,0,1,0
03/01/2024,00:30:00,0.774,23,1.0,1,0.82,1,0,1,0
03/01/2024,00:40:00,0.15,23,1.0,1,0.88,0,0,1,1
03/01/2024,00:50:00,0.167,25,1.0,1,0.85,0,0,1,1
03/01/2024,01:00:00,0.76,25,1.0,1,0.58,1,0,1,0
03/01/2024,01:10:00,0.173,23,1.0,1,0.48,0,0,1,1
03/01/2024,01:20:00,0.011,26,1.0,0,0.64,0,0,0,0
03/01/2024,01:30:00,0.077,25,1.0,1,0.43,0,0,1,0
03/01/2024,01:40:00,0.01,26,1.0,0,0.49,0,0,0,0
03/01/2024,01:50:00,0.154,25,1.0,1,0.67,0,0,1,1
03/01/2024,02:00:00,0.01,23,1.0,0,0.52,0,0,0,0
03/01/2024,02:10:00,0.034,24,1.0,1,0.46,0,0,1,0
03/01/2024,02:20:00,0.04,26,1.0,1,0.57,0,0,1,0
03/01/2024,02:30:00,0.875,26,1.0,1,0.52,1,0,1,1
03/01/2024,02:40:00,0.024,25,1.0,0,0.49,0,0,0,0
03/01/2024,02:50:00,0.116,25,1.0,0,0.47,0,0,0,1
03/01/2024,03:00:00,0.168,27,1.0,1,0.74,0,0,1,1
03/01/2024,03:10:00,0.731,24,1.0,0,0.53,1,0,0,0
03/01/2024,03:20:00,0.047,26,1.0,1,0.42,0,0,1,0
03/01/2024,03:30:00,0.878,25,1.0,1,0.65,1,0,1,1
03/01/2024,03:40:00,0.027,25,1.0,0,0.59,0,0,0,0
03/01/2024,03:50:00,0.116,27,1.0,0,0.5,0,0,0,1
03/01/2024,04:00:00,0.01,27,1.0,0,0.48,0,0,0,0
03/01/2024,04:10:00,0.034,27,1.0,0,0.6,0,0,0,0
03/01/2024,04:20:00,0.879,28,1.0,1,0.53,1,0,1,1
03/01/2024,04:30:00,0.01,27,1.0,0,0.42,0,0,0,0
03/01/2024,04:40:00,0.814,28,1.0,1,0.68,1,0,0,1
03/01/2024,04:50:00,0.167,26,1.0,1,0.52,0,0,1,1
03/01/2024,05:00:00,0.891,27,1.0,1,0.65,1,0,1,1
03/01/2024,05:10:00,0.885,27,1.0,1,0.64,1,0,1,1
03/01/2024,05:20:00,0.186,27,1.0,1,0.48,0,0,1,1
03/01/2024,05:30:00,0.543,28,1.0,1,0.62,1,1,1,0
03/01/2024,05:40:00,0.17,26,1.0,1,0.5,0,0,1,1
03/01/2024,05:50:00,0.938,31,1.0,1,0.42,1,0,1,0
03/01/2024,06:00:00,0.01,26,0.0,0,0.52,0,0,0,0
03/01/2024,06:10:00,0.693,26,0.0,1,0.58,1,0,0,0
03/01/2024,06:20:00,0.497,30,0.0,1,0.52,1,1,0,0
03/01/2024,06:30:00,0.699,30,0.0,0,0.53,1,0,0,0
03/01/2024,06:40:00,0.01,30,0.0,0,0.63,0,0,0,0
03/01/2024,06:50:00,0.016,30,0.0,0,0.56,0,0,0,0
03/01/2024,07:00:00,0.155,29,0.0,1,0.84,0,0,0,1
03/01/2024,07:10:00,0.01,28,0.0,0,0.95,0,0,0,0
03/01/2024,07:20:00,0.719,29,0.0,1,0.91,1,0,0,0
03/01/2024,07:30:00,0.047,29,0.0,1,0.72,0,0,1,0
03/01/2024,07:40:00,0.964,31,0.0,1,0.93,1,0,1,0
03/01/2024,07:50:00,0.691,30,0.0,0,0.93,1,0,0,0
03/01/2024,08:00:00,0.702,29,0.0,1,0.9,1,0,0,0
03/01/2024,08:10:00,0.02,30,0.0,1,0.96,0,0,0,0
03/01/2024,08:20:00,0.019,31,0.0,1,0.85,0,0,0,0
03/01/2024,08:30:00,0.019,30,0.0,0,0.92,0,0,0,0
03/01/2024,08:40:00,0.031,29,0.0,0,0.79,0,0,0,0
03/01/2024,08:50:00,0.01,31,0.0,1,0.93,0,0,0,0
03/01/2024,09:00:00,0.01,31,0.0,0,1.0,0,0,0,0
03/01/2024,09:10:00,0.018,30,0.0,0,0.83,0,0,0,0
03/01/2024,09:20:00,0.022,30,0.0,0,0.85,0,0,0,0
03/01/2024,09:30:00,0.02,32,0.0,0,0.85,0,0,0,0
03/01/2024,09:40:00,0.051,29,0.0,0,0.91,0,0,0,0
03/01/2024,09:50:00,0.01,29,0.0,0,0.83,0,0,0,0
03/01/2024,10:00:00,0.016,30,0.0,0,0.93,0,0,0,0
03/01/2024,10:10:00,0.01,31,0.0,1,0.96,0,0,0,0
03/01/2024,10:20:00,0.019,32,0.0,0,0.94,0,0,0,0
03/01/2024,10:30:00,0.016,34,0.0,0,0.78,0,0,0,0
03/01/2024,10:40:00,0.902,33,0.0,0,0.97,1,0,0,0
03/01/2024,10:50:00,0.516,32,0.0,1,0.97,1,1,0,0
03/01/2024,11:00:00,0.011,32,0.0,0,0.96,0,0,0,0
03/01/2024,11:10:00,0.012,30,0.0,0,0.93,0,0,0,0
03/01/2024,11:20:00,0.027,32,0.0,0,0.92,0,0,0,0
03/01/2024,11:30:00,0.047,32,0.0,0,0.97,0,0,0,0
03/01/2024,11:40:00,0.01,32,0.0,0,1.0,0,0,0,0
03/01/2024,11:50:00,0.529,31,0.0,0,0.83,1,1,0,0
03/01/2024,12:00:00,0.02,33,0.0,0,0.98,0,0,0,0
03/01/2024,12:10:00,0.01,34,0.0,0,0.89,0,0,0,0
03/01/2024,12:20:00,0.01,32,0.0,0,0.89,0,0,0,0
03/01/2024,12:30:00,0.023,33,0.0,0,0.79,0,0,0,0
03/01/2024,12:40:00,0.011,33,0.0,0,0.88,0,0,0,0
03/01/2024,12:50:00,0.01,31,0.0,0,0.83,0,0,0,0
03/01/2024,13:00:00,0.9,32,0.0,0,0.87,1,0,0,0
03/01/2024,13:10:00,0.01,32,0.0,0,0.82,0,0,0,0
03/01/2024,13:20:00,0.01,32,0.0,0,0.87,0,0,0,0
03/01/2024,13:30:00,0.01,31,0.0,0,0.87,0,0,0,0
03/01/2024,13:40:00,0.01,32,0.0,0,0.91,0,0,0,0
03/01/2024,13:50:00,0.915,32,0.0,0,0.79,1,0,0,0
03/01/2024,14:00:00,0.898,34,0.0,0,0.8,1,0,0,0
03/01/2024,14:10:00,0.921,33,0.0,0,0.93,1,0,0,0
03/01/2024,14:20:00,0.896,35,0.0,1,0.84,1,0,0,0
